T01.976,M67.004,-0.786000
A22.001,T01.986,-0.918000
T01.979,S08.A56,-0.902000
M16.971,M16.003,-0.995000
A22.002,C14.003,-0.749000
S60.975,S01.972,-0.880000
C19.030,C19.070,-0.740000
T01.975,T01.974,-0.999000
T01.986,C01.084,-0.905000
C19.026,M67.974,-0.894000
T01.971,T01.011,-0.999000
T01.984,T01.983,-0.999000
T01.977,T01.972,-0.999000
C12.004,M67.973,-0.851000
T01.987,T01.979,-0.999000
M10.015,M10.003,-0.929000
T01.016,T01.976,-0.982000
C14.971,C14.P01,-0.870000
C19.016,C12.005,-0.752000
M16.983,M12.217,-0.817000
C19.021,C12.001,-0.799000
M10.004,S01.976,-0.922000
C14.004,C14.003,-0.933000
T01.987,S08.A56,-0.940000
S01.161,M10.002,-0.900000
C12.003,C19.017,-0.931000
M01.010,T01.010,-0.912000
M38.978,C56.972,-0.736000
T01.012,T01.972,-0.999000
S09.990,S09.960,-0.754000
T01.984,C01.084,-0.910000
T01.014,T01.013,-0.950000
S01.010,C14.009,-0.739000
A01.007,M14.010,-0.904000
T01.976,C19.015,-0.966000
S10.002,A01.007,-0.744000
T03.017,S09.A50,-0.905000
T01.977,M67.004,-0.795000
M13.001,M02.006,-0.969000
T01.975,M01.011,-0.911000
S33.979,S09.993,-0.978000
C01.034,C01.018,-0.916000
M14.001,S01.154,-0.895000
C19.021,C14.001,-0.800000
S01.233,S01.211,-0.828000
M38.977,M38.976,-0.902000
S14.003,C56.972,-0.754000
M02.001,M13.001,-0.721000
M20.006,M20.005,-0.957000
M12.222,C19.078,-0.740000
C01.013,M02.006,-0.900000
C50.002,T01.014,-0.903000
C48.007,C48.004,-0.802000
M01.010,T01.984,-0.913000
T01.984,C50.002,-0.900000
S68.002,C14.006,-0.999000
T01.016,M01.011,-0.903000
C19.009,C19.018,-0.956000
S01.127,M10.008,-0.905000
M10.014,M10.004,-0.932000
C19.016,C19.014,-0.991000
T01.016,T01.983,-0.993000
M67.005,T01.972,-0.710000
S01.232,M10.003,-0.854000
T01.984,T01.979,-0.999000
C19.015,C19.009,-0.845000
A01.004,A22.001,-0.933000
A22.002,M41.026,-0.838000
T01.011,C01.084,-0.905000
C19.034,C19.041,-0.818000
T01.983,M67.973,-0.999000
T03.016,T03.024,-0.760000
C12.005,T01.975,-0.999000
T01.013,M67.973,-0.792000
C01.060,A01.009,-0.960000
M67.004,M24.974,-0.740000
