P11940,P62829,-0.902000
P26373,P63173,-0.999000
O60260,Q07021,-0.719000
Q15428,Q59GP7,-0.895000
P62857,P52298,-0.907000
P04279,P01236,-0.900000
O60784,Q15075,-0.728000
O94913,A0JLT9,-0.907000
P25705,P62263,-0.707000
Q7Z7J6,Q53XC5,-0.857000
P18621,P24928,-0.877000
Q6IBS0,A5A3E0,-0.747000
Q7KZI7,P31749,-0.726000
P36956,P27361,-0.855000
Q13206,Q9GZR7,-0.837000
P20908,P02462,-0.925000
O00541,Q9Y3T9,-0.989000
P16104,Q92769,-0.917000
P22087,P18124,-0.976000
P35052,O75056,-0.972000
P08238,P51888,-0.801000
P62333,P17980,-0.999000
P05067,P01160,-0.901000
P05067-4,P01160,-0.901000
P05067-1,P01160,-0.901000
P62263,P62857,-0.999000
Q13485,P12830,-0.993000
P01303,P01584,-0.854000
O95036,P46777,-0.999000
P63279,P38398,-0.879000
P00519,P0CG48,-0.902000
P62241,P62857,-0.999000
P55854,P06748,-0.947000
P62851,Q49A90,-0.994000
Q5RKT7,Q14155,-0.907000
Q00536,P24385,-0.852000
P0CG48,Q86YT6,-0.999000
Q9UJU6,P47756,-0.747000
Q9UJU6,P47756-2,-0.747000
Q9UBU3,P49327,-0.864000
Q05CQ1,Q49A90,-0.924000
P20800,P01019,-0.912000
P49411,P62249,-0.945000
P51532,Q8NFD5,-0.999000
Q9NQ55,P46087,-0.886000
P49207,Q9Y5M8,-0.900000
P22087,Q8WVC0,-0.726000
P13639,Q8N3C0,-0.800000
Q9Y6D6,P36873,-0.743000
Q7Z3K9,Q59FA2,-0.953000
P00568,P22392,-0.921000
Q9Y265,Q9UEE9,-0.955000
Q01130,Q08170,-0.997000
P25116,P55085,-0.911000
Q14974,P57740,-0.984000
P38919,P62701,-0.925000
Q96PU5,P04049,-0.959000
Q13619,O14744,-0.740000
P01275,Q6FH53,-0.939000
Q13489,P25963,-0.989000
Q96QV6,Q93079,-0.962000
Q6NXR8,P60866,-0.999000
P61247,Q05639,-0.713000
Q9UKD2,Q9Y4C8,-0.759000
P51610,Q8IZD2,-0.972000
O95782,P04233-1,-0.900000
O95782,P04233,-0.900000
Q5VTE0,P62913,-0.981000
Q92466,P54727,-0.966000
Q9H1J1,Q8IYB3,-0.825000
P15880,Q9Y5M8,-0.900000
Q9Y266,Q15185,-0.783000
Q9GZV4,P46778,-0.756000
P35268,P62750,-0.999000
Q96RL1,P61956,-0.923000
P41567,Q13347,-0.991000
A6ZHA9,Q59EP7,-0.714000
Q9H7B2,Q9Y3B9,-0.881000
P62249,P84098,-0.999000
P37108,Q5RKT7,-0.907000
Q00987,Q9UPQ9,-0.900000
P49790,Q59FA2,-0.905000
Q15365,P24928,-0.905000
Q53SQ6,Q53YD7,-0.861000
O75531,Q6I9T8,-0.900000
P05161,Q14669-4,-0.953000
P05161,Q14669,-0.953000
P05161,Q14669-3,-0.953000
P62942,P62753,-0.776000
B2R858,Q6P2E9,-0.812000
P0CG48,P60953,-0.997000
P54132,P09874,-0.854000
P33991,Q08945,-0.982000
P42677,P62906,-0.991000
P01138,Q9NY61,-0.903000
P13010,Q08211,-0.989000
P27708,O96019,-0.902000
Q9UBQ5,P25398,-0.918000
P35268,P62987,-0.999000
Q9NSY3,P16104,-0.916000
Q08170,Q15366,-0.987000
O15145,Q8IZP0,-0.912000
O15371,P62750,-0.958000
Q15287,Q8IWZ8,-0.900000
P25067,P02452,-0.900000
P62861,Q92900,-0.922000
Q5T200,Q9UHV7,-0.999000
Q14204,Q13885,-0.924000
Q13753,Q13177,-0.900000
P07900-2,O96008,-0.824000
P07900,O96008,-0.824000
Q99877,Q13547,-0.904000
P40227,Q53HV2,-0.999000
P40227-2,Q53HV2,-0.999000
Q5JTH9,Q9H8H2,-0.748000
A6ZFK3,Q04206,-0.906000
P0CG48,Q99832,-0.996000
P0CG48,Q99832-2,-0.996000
P61247,Q92900,-0.903000
Q01081-4,P35659,-0.750000
Q01081,P35659,-0.750000
P11940,P38398,-0.816000
Q07020,Q9UKD2,-0.909000
P26038,P31749,-0.721000
P03372,Q9BQE3,-0.903000
Q13490,P25445,-0.948000
O00203,P0CG48,-0.893000
Q9UHI6,O75694,-0.900000
Q71UI9,Q9NPF5,-0.931000
P01024,P01303,-0.900000
Q59FH0,P57053,-0.964000
Q99075,P01350,-0.875000
