S01.212,S01.362,-0.133700
M10.008,M10.016,-0.334600
S01.306,S01.215,-0.243400
M12.976,M12.215,-0.227300
M12.025,P02.029,-0.032400
S01.394,S01.231,-0.208200
S01.298,S01.224,-0.313700
A01.001,A01.010,-0.529200
S01.139,S01.135,-0.282600
S01.989,S01.971,-0.117400
S01.237,S01.972,-0.047300
S01.021,S01.020,-0.131800
S01.311,S01.940,-0.205600
S01.231,S01.174,-0.160100
M10.016,M10.009,-0.239100
S01.232,S01.969,-0.129700
M12.301,M12.301,-1.000000
M01.008,M01.003,-0.256600
S01.969,S01.327,-0.082500
M14.012,M14.001,-0.037800
S01.081,S01.010,-0.280000
S01.017,S01.213,-0.216200
M38.978,M38.978,-1.000000
P02.014,P02.001,-0.032500
M12.231,M12.953,-0.021100
M38.975,M38.975,-1.000000
S01.134,S01.327,-0.182200
S01.021,S01.246,-0.123500
S01.322,S01.205,-0.070000
S01.139,S01.933,-0.197200
S01.971,S01.247,-0.173100
A01.046,A01.004,-0.095200
S01.307,S01.223,-0.191100
S01.976,S01.143,-0.086500
S01.205,S01.206,-0.537800
S01.216,S01.127,-0.153500
S01.971,S01.365,-0.171900
S01.291,S01.257,-0.151400
M12.005,S01.072,-0.027100
C19.013,C19.028,-0.059700
S01.029,S01.015,-0.285100
S01.199,S01.192,-0.091100
S01.308,S01.155,-0.096000
S01.081,S01.161,-0.386400
S01.029,S01.306,-0.441600
S01.975,S01.292,-0.058500
S01.087,S01.362,-0.129300
S01.233,S01.233,-1.000000
C19.057,C19.059,-0.042300
S01.199,S01.394,-0.051300
C48.002,C48.004,-0.051200
S01.021,S01.223,-0.208200
S01.216,S01.213,-0.145100
S01.933,S01.153,-0.076100
S01.072,S01.028,-0.109600
S01.228,S01.989,-0.049300
T01.015,T01.986,-0.092100
S01.139,S01.320,-0.249100
S01.079,S01.155,-0.186600
S01.033,S01.198,-0.108400
T01.013,T01.014,-0.233600
S01.199,S01.308,-0.158200
S01.414,S01.135,-0.062100
S01.375,S01.072,-0.109100
S01.365,S01.199,-0.185300
C19.071,C19.046,-0.026300
S01.147,S01.251,-0.276300
M12.245,M12.005,-0.153900
M12.956,M12.976,-0.196600
S33.973,S33.978,-0.148000
S01.976,S01.974,-0.041900
S01.246,S01.999,-0.200900
S01.193,S01.311,-0.071500
S01.232,S01.192,-0.086000
S01.308,S01.206,-0.090200
S01.375,S01.213,-0.111400
M12.215,P02.006,-0.032400
S01.134,S01.236,-0.238800
S01.019,S01.291,-0.075700
S01.033,S01.258,-0.117000
M12.246,M12.232,-0.018700
S01.189,S01.999,-0.098800
S01.087,S01.321,-0.152600
P02.018,P02.014,-0.057100
S01.232,S01.162,-0.095800
S09.979,S09.987,-0.262700
C01.037,C01.034,-0.185900
S01.199,S01.079,-0.121700
A01.009,A01.001,-0.408600
M12.029,M12.976,-0.033100
S01.029,S01.174,-0.396000
M12.025,M12.209,-0.055300
S01.257,S01.140,-0.225200
S01.205,S01.217,-0.163700
S01.192,S01.198,-0.347900
S01.322,S01.153,-0.066900
M28.010,M28.972,-0.162600
S01.940,S01.940,-1.000000
S01.237,S01.081,-0.071900
S09.980,S09.986,-0.148500
S01.216,S01.233,-0.145100
S01.291,S01.075,-0.213800
S01.193,S01.972,-0.125300
S01.193,S01.162,-0.057100
S01.216,S01.251,-0.115500
M12.235,M12.027,-0.261000
S01.291,S01.156,-0.273700
S01.365,S01.154,-0.159300
S01.134,S01.033,-0.230900
M12.214,M12.301,-0.071700
S01.199,S01.019,-0.157700
M12.029,M12.029,-1.000000
S01.257,S01.074,-0.234800
S01.139,S01.087,-0.215700
C19.030,C19.010,-0.096300
C01.975,C01.036,-0.081200
S01.205,S01.972,-0.141100
S01.212,S01.021,-0.135000
S01.017,S01.299,-0.187900
C19.010,C19.052,-0.039600
S01.971,S01.251,-0.242100
S01.969,S01.244,-0.075400
S01.157,S01.244,-0.201200
S01.971,S01.192,-0.137400
S01.157,S01.213,-0.306300
S01.193,S01.414,-0.078300
M10.029,M10.014,-0.237900
M16.983,M16.002,-0.244900
M12.956,M12.950,-0.192500
S01.192,S01.257,-0.064700
S01.216,S01.298,-0.151400
C19.068,C19.042,-0.050400
S01.414,S01.198,-0.079300
M10.004,M10.003,-0.422900
S01.233,S01.193,-0.075400
S01.940,S01.081,-0.077900
S01.258,S01.989,-0.262900
S01.212,S01.246,-0.088200
C19.064,C19.009,-0.046000
P02.012,P02.012,-1.000000
S01.291,S01.199,-0.215100
S01.199,S01.232,-0.129900
S01.147,S01.015,-0.245800
C19.042,C19.070,-0.029300
S01.971,S01.307,-0.221100
C19.976,C19.035,-0.044800
S01.257,S01.162,-0.384600
M12.956,M12.027,-0.065400
S01.161,S01.081,-0.376300
S01.394,S01.205,-0.176300
S01.976,S01.154,-0.076000
C19.026,C19.058,-0.129300
